"#","Name","Type 1","Type 2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation","Legendary","hue","url"
"1","Bulbasaur","Grass","Poison","318","45","49","49","65","65","45","1","False","150"," https://img.pokemondb.net/sprites/bank/normal/bulbasaur.png"
"2","Ivysaur","Grass","Poison","405","60","62","63","80","80","60","1","False","180"," https://img.pokemondb.net/sprites/bank/normal/ivysaur.png"
"3","Venusaur","Grass","Poison","525","80","82","83","100","100","80","1","False","192"," https://img.pokemondb.net/sprites/bank/normal/venusaur.png"
"3","VenusaurMega Venusaur","Grass","Poison","625","80","100","123","122","120","80","1","False","192"," https://img.pokemondb.net/sprites/bank/normal/venusaur.png"
"4","Charmander","Fire","N/A","309","39","52","43","60","50","65","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/charmander.png"
"5","Charmeleon","Fire","N/A","405","58","64","58","80","65","80","1","False","15"," https://img.pokemondb.net/sprites/bank/normal/charmeleon.png"
"6","Charizard","Fire","Flying","534","78","84","78","109","85","100","1","False","33"," https://img.pokemondb.net/sprites/bank/normal/charizard.png"
"6","CharizardMega Charizard X","Fire","Dragon","634","78","130","111","130","85","100","1","False","33"," https://img.pokemondb.net/sprites/bank/normal/charizard.png"
"6","CharizardMega Charizard Y","Fire","Flying","634","78","104","78","159","115","100","1","False","33"," https://img.pokemondb.net/sprites/bank/normal/charizard.png"
"7","Squirtle","Water","N/A","314","44","48","65","50","64","43","1","False","192"," https://img.pokemondb.net/sprites/bank/normal/squirtle.png"
"8","Wartortle","Water","N/A","405","59","63","80","65","80","58","1","False","210"," https://img.pokemondb.net/sprites/bank/normal/wartortle.png"
"9","Blastoise","Water","N/A","530","79","83","100","85","105","78","1","False","216"," https://img.pokemondb.net/sprites/bank/normal/blastoise.png"
"9","BlastoiseMega Blastoise","Water","N/A","630","79","103","120","135","115","78","1","False","216"," https://img.pokemondb.net/sprites/bank/normal/blastoise.png"
"10","Caterpie","Bug","N/A","195","45","30","35","20","20","45","1","False","100"," https://img.pokemondb.net/sprites/bank/normal/caterpie.png"
"11","Metapod","Bug","N/A","205","50","20","55","25","25","30","1","False","94"," https://img.pokemondb.net/sprites/bank/normal/metapod.png"
"12","Butterfree","Bug","Flying","395","60","45","50","90","80","70","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/butterfree.png"
"13","Weedle","Bug","Poison","195","40","35","30","20","20","50","1","False","40"," https://img.pokemondb.net/sprites/bank/normal/weedle.png"
"14","Kakuna","Bug","Poison","205","45","25","50","25","25","35","1","False","45"," https://img.pokemondb.net/sprites/bank/normal/kakuna.png"
"15","Beedrill","Bug","Poison","395","65","90","40","45","80","75","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/beedrill.png"
"15","BeedrillMega Beedrill","Bug","Poison","495","65","150","40","15","80","145","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/beedrill.png"
"16","Pidgey","Normal","Flying","251","40","45","40","35","35","56","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/pidgey.png"
"17","Pidgeotto","Normal","Flying","349","63","60","55","50","50","71","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/pidgeotto.png"
"18","Pidgeot","Normal","Flying","479","83","80","75","70","70","101","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/pidgeot.png"
"18","PidgeotMega Pidgeot","Normal","Flying","579","83","80","80","135","80","121","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/pidgeot.png"
"19","Rattata","Normal","N/A","253","30","56","35","25","35","72","1","False","280"," https://img.pokemondb.net/sprites/bank/normal/rattata.png"
"20","Raticate","Normal","N/A","413","55","81","60","50","70","97","1","False","40"," https://img.pokemondb.net/sprites/bank/normal/raticate.png"
"21","Spearow","Normal","Flying","262","40","60","30","31","31","70","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/spearow.png"
"22","Fearow","Normal","Flying","442","65","90","65","61","61","100","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/fearow.png"
"23","Ekans","Poison","N/A","288","35","60","44","40","54","55","1","False","300"," https://img.pokemondb.net/sprites/bank/normal/ekans.png"
"24","Arbok","Poison","N/A","438","60","85","69","65","79","80","1","False","270"," https://img.pokemondb.net/sprites/bank/normal/arbok.png"
"25","Pikachu","Electric","N/A","320","35","55","40","50","50","90","1","False","52"," https://img.pokemondb.net/sprites/bank/normal/pikachu.png"
"26","Raichu","Electric","N/A","485","60","90","55","90","80","110","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/raichu.png"
"27","Sandshrew","Ground","N/A","300","50","75","85","20","30","40","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/sandshrew.png"
"28","Sandslash","Ground","N/A","450","75","100","110","45","55","65","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/sandslash.png"
"29","Nidoran♀","Poison","N/A","275","55","47","52","40","40","41","1","False","210"," https://img.pokemondb.net/sprites/bank/normal/nidoran-f.png"
"30","Nidorina","Poison","N/A","365","70","62","67","55","55","56","1","False","180"," https://img.pokemondb.net/sprites/bank/normal/nidorina.png"
"31","Nidoqueen","Poison","Ground","505","90","92","87","75","85","76","1","False","210"," https://img.pokemondb.net/sprites/bank/normal/nidoqueen.png"
"32","Nidoran♂","Poison","N/A","273","46","57","40","40","40","50","1","False","300"," https://img.pokemondb.net/sprites/bank/normal/nidoran-m.png"
"33","Nidorino","Poison","N/A","365","61","72","57","55","55","65","1","False","300"," https://img.pokemondb.net/sprites/bank/normal/nidorino.png"
"34","Nidoking","Poison","Ground","505","81","102","77","85","75","85","1","False","300"," https://img.pokemondb.net/sprites/bank/normal/nidoking.png"
"35","Clefairy","Fairy","N/A","323","70","45","48","60","65","35","1","False","330"," https://img.pokemondb.net/sprites/bank/normal/clefairy.png"
"36","Clefable","Fairy","N/A","483","95","70","73","95","90","60","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/clefable.png"
"37","Vulpix","Fire","N/A","299","38","41","40","50","65","65","1","False","24"," https://img.pokemondb.net/sprites/bank/normal/vulpix.png"
"38","Ninetales","Fire","N/A","505","73","76","75","81","100","100","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/ninetales.png"
"39","Jigglypuff","Normal","Fairy","270","115","45","20","45","25","20","1","False","330"," https://img.pokemondb.net/sprites/bank/normal/jigglypuff.png"
"40","Wigglytuff","Normal","Fairy","435","140","70","45","85","50","45","1","False","300"," https://img.pokemondb.net/sprites/bank/normal/wigglytuff.png"
"41","Zubat","Poison","Flying","245","40","45","35","30","40","55","1","False","315"," https://img.pokemondb.net/sprites/bank/normal/zubat.png"
"42","Golbat","Poison","Flying","455","75","80","70","65","75","90","1","False","300"," https://img.pokemondb.net/sprites/bank/normal/golbat.png"
"43","Oddish","Grass","Poison","320","45","50","55","75","65","30","1","False","111"," https://img.pokemondb.net/sprites/bank/normal/oddish.png"
"44","Gloom","Grass","Poison","395","60","65","70","85","75","40","1","False","210"," https://img.pokemondb.net/sprites/bank/normal/gloom.png"
"45","Vileplume","Grass","Poison","490","75","80","85","110","90","50","1","False","210"," https://img.pokemondb.net/sprites/bank/normal/vileplume.png"
"46","Paras","Bug","Grass","285","35","70","55","45","55","25","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/paras.png"
"47","Parasect","Bug","Grass","405","60","95","80","60","80","30","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/parasect.png"
"48","Venonat","Bug","Poison","305","60","55","50","40","55","45","1","False","255"," https://img.pokemondb.net/sprites/bank/normal/venonat.png"
"49","Venomoth","Bug","Poison","450","70","65","60","90","75","90","1","False","300"," https://img.pokemondb.net/sprites/bank/normal/venomoth.png"
"50","Diglett","Ground","N/A","265","10","55","25","35","45","95","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/diglett.png"
"51","Dugtrio","Ground","N/A","405","35","80","50","50","70","120","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/dugtrio.png"
"52","Meowth","Normal","N/A","290","40","45","35","40","40","90","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/meowth.png"
"53","Persian","Normal","N/A","440","65","70","60","65","65","115","1","False","40"," https://img.pokemondb.net/sprites/bank/normal/persian.png"
"54","Psyduck","Water","N/A","320","50","52","48","65","50","55","1","False","42"," https://img.pokemondb.net/sprites/bank/normal/psyduck.png"
"55","Golduck","Water","N/A","500","80","82","78","95","80","85","1","False","210"," https://img.pokemondb.net/sprites/bank/normal/golduck.png"
"56","Mankey","Fighting","N/A","305","40","80","35","35","45","70","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/mankey.png"
"57","Primeape","Fighting","N/A","455","65","105","60","60","70","95","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/primeape.png"
"58","Growlithe","Fire","N/A","350","55","70","45","70","50","60","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/growlithe.png"
"59","Arcanine","Fire","N/A","555","90","110","80","100","80","95","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/arcanine.png"
"60","Poliwag","Water","N/A","300","40","50","40","40","40","90","1","False","210"," https://img.pokemondb.net/sprites/bank/normal/poliwag.png"
"61","Poliwhirl","Water","N/A","385","65","65","65","50","50","90","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/poliwhirl.png"
"62","Poliwrath","Water","Fighting","510","90","95","95","70","90","70","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/poliwrath.png"
"63","Abra","Psychic","N/A","310","25","20","15","105","55","90","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/abra.png"
"64","Kadabra","Psychic","N/A","400","40","35","30","120","70","105","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/kadabra.png"
"65","Alakazam","Psychic","N/A","500","55","50","45","135","95","120","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/alakazam.png"
"65","AlakazamMega Alakazam","Psychic","N/A","590","55","50","65","175","95","150","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/alakazam.png"
"66","Machop","Fighting","N/A","305","70","80","50","35","35","35","1","False","180"," https://img.pokemondb.net/sprites/bank/normal/machop.png"
"67","Machoke","Fighting","N/A","405","80","100","70","50","60","45","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/machoke.png"
"68","Machamp","Fighting","N/A","505","90","130","80","65","85","55","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/machamp.png"
"69","Bellsprout","Grass","Poison","300","50","75","35","70","30","40","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/bellsprout.png"
"70","Weepinbell","Grass","Poison","390","65","90","50","85","45","55","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/weepinbell.png"
"71","Victreebel","Grass","Poison","490","80","105","65","100","70","70","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/victreebel.png"
"72","Tentacool","Water","Poison","335","40","40","35","50","100","70","1","False","204"," https://img.pokemondb.net/sprites/bank/normal/tentacool.png"
"73","Tentacruel","Water","Poison","515","80","70","65","80","120","100","1","False","204"," https://img.pokemondb.net/sprites/bank/normal/tentacruel.png"
"74","Geodude","Rock","Ground","300","40","80","100","30","30","20","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/geodude.png"
"75","Graveler","Rock","Ground","390","55","95","115","45","45","35","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/graveler.png"
"76","Golem","Rock","Ground","495","80","120","130","55","65","45","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/golem.png"
"77","Ponyta","Fire","N/A","410","50","85","55","65","65","90","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/ponyta.png"
